Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,36.87,37.46,36.12,36.79,140296.0,0.0,1.0,36.87,37.46,36.12,36.79,140296.0
2018-03-26,36.25,37.88,35.75,36.78,78419.0,0.0,1.0,36.25,37.88,35.75,36.78,78419.0
2018-03-23,36.63,36.97,35.54,35.58,166048.0,0.0,1.0,36.63,36.97,35.54,35.58,166048.0
2018-03-22,38.22,38.22,36.43,36.49,169382.0,0.0,1.0,38.22,38.22,36.43,36.49,169382.0
2018-03-21,38.45,38.895,38.0,38.56,71061.0,0.0,1.0,38.45,38.895,38.0,38.56,71061.0
2018-03-20,38.71,39.0,38.38,38.46,44494.0,0.0,1.0,38.71,39.0,38.38,38.46,44494.0
2018-03-19,38.49,38.73,37.81,38.64,117865.0,0.0,1.0,38.49,38.73,37.81,38.64,117865.0
2018-03-16,38.91,39.17,38.205,38.56,416467.0,0.0,1.0,38.91,39.17,38.205,38.56,416467.0
2018-03-15,39.35,39.74,38.81,38.91,106411.0,0.0,1.0,39.35,39.74,38.81,38.91,106411.0
2018-03-14,40.3,40.3,38.9,39.16,88557.0,0.0,1.0,40.3,40.3,38.9,39.16,88557.0
2018-03-13,40.83,41.14,39.87,40.09,99324.0,0.0,1.0,40.83,41.14,39.87,40.09,99324.0
2018-03-12,40.94,41.14,40.18,40.58,136194.0,0.0,1.0,40.94,41.14,40.18,40.58,136194.0
2018-03-09,40.5,41.13,39.8,40.97,119368.0,0.0,1.0,40.5,41.13,39.8,40.97,119368.0
2018-03-08,40.72,40.72,39.56,40.11,138268.0,0.0,1.0,40.72,40.72,39.56,40.11,138268.0
2018-03-07,39.84,40.68,38.88,40.5,112285.0,0.0,1.0,39.84,40.68,38.88,40.5,112285.0
2018-03-06,40.32,40.59,39.5,40.42,139764.0,0.0,1.0,40.32,40.59,39.5,40.42,139764.0
2018-03-05,39.85,40.26,37.2857,39.88,140410.0,0.0,1.0,39.85,40.26,37.2857,39.88,140410.0
2018-03-02,38.52,40.16,38.45,40.01,150759.0,0.0,1.0,38.52,40.16,38.45,40.01,150759.0
2018-03-01,38.54,39.44,37.46,39.15,226803.0,0.0,1.0,38.54,39.44,37.46,39.15,226803.0
2018-02-28,38.83,39.3823,37.93,38.55,303985.0,0.0,1.0,38.83,39.3823,37.93,38.55,303985.0
2018-02-27,38.1,41.95,37.78,38.55,456020.0,0.0,1.0,38.1,41.95,37.78,38.55,456020.0
