Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,8.4,8.4,8.225,8.35,159379.0,0.0,1.0,8.4,8.4,8.225,8.35,159379.0
2018-03-26,8.2,8.4,8.1,8.375,172940.0,0.0,1.0,8.2,8.4,8.1,8.375,172940.0
2018-03-23,8.35,8.5,8.15,8.15,108247.0,0.0,1.0,8.35,8.5,8.15,8.15,108247.0
2018-03-22,8.55,8.6,8.3,8.3,84699.0,0.0,1.0,8.55,8.6,8.3,8.3,84699.0
2018-03-21,8.65,8.75,8.55,8.65,50308.0,0.0,1.0,8.65,8.75,8.55,8.65,50308.0
2018-03-20,8.6,8.7,8.55,8.6,93081.0,0.0,1.0,8.6,8.7,8.55,8.6,93081.0
2018-03-19,8.6,8.7,8.55,8.6,79319.0,0.0,1.0,8.6,8.7,8.55,8.6,79319.0
2018-03-16,8.7,8.85,8.6,8.7,209233.0,0.0,1.0,8.7,8.85,8.6,8.7,209233.0
2018-03-15,8.75,8.8,8.6,8.7,52533.0,0.0,1.0,8.75,8.8,8.6,8.7,52533.0
2018-03-14,8.85,8.95,8.7,8.7,51033.0,0.0,1.0,8.85,8.95,8.7,8.7,51033.0
2018-03-13,8.9,9.0,8.8,8.85,70088.0,0.0,1.0,8.9,9.0,8.8,8.85,70088.0
2018-03-12,8.9,9.0,8.85,9.0,67142.0,0.0,1.0,8.9,9.0,8.85,9.0,67142.0
2018-03-09,9.0,9.0,8.8262,8.925,196220.0,0.0,1.0,9.0,9.0,8.8262,8.925,196220.0
2018-03-08,8.95,8.95,8.75,8.9,67927.0,0.0,1.0,8.95,8.95,8.75,8.9,67927.0
2018-03-07,8.9,9.05,8.9,8.95,70035.0,0.0,1.0,8.9,9.05,8.9,8.95,70035.0
2018-03-06,9.0,9.0,8.7,8.95,57554.0,0.0,1.0,9.0,9.0,8.7,8.95,57554.0
2018-03-05,8.7,9.05,8.6,8.95,142266.0,0.0,1.0,8.7,9.05,8.6,8.95,142266.0
2018-03-02,8.45,8.85,8.443,8.8,82699.0,0.0,1.0,8.45,8.85,8.443,8.8,82699.0
2018-03-01,8.4,8.6,8.35,8.55,78246.0,0.0,1.0,8.4,8.6,8.35,8.55,78246.0
2018-02-28,8.6,8.7,8.45,8.45,112010.0,0.0,1.0,8.6,8.7,8.45,8.45,112010.0
2018-02-27,8.8,8.85,8.5,8.55,53519.0,0.0,1.0,8.8,8.85,8.5,8.55,53519.0
2018-02-26,8.55,8.85,8.45,8.8,87230.0,0.0,1.0,8.55,8.85,8.45,8.8,87230.0
2018-02-23,8.45,8.55,8.35,8.55,46902.0,0.0,1.0,8.45,8.55,8.35,8.55,46902.0
2018-02-22,8.5,8.55,8.3,8.4,739518.0,0.0,1.0,8.5,8.55,8.3,8.4,739518.0
