Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,2.3643,2.46,2.33,2.34,4965.0,0.0,1.0,2.3643,2.46,2.33,2.34,4965.0
2018-03-26,2.3,2.41,2.29,2.3231,6871.0,0.0,1.0,2.3,2.41,2.29,2.3231,6871.0
2018-03-23,2.4,2.48,2.211,2.47,18209.0,0.0,1.0,2.4,2.48,2.211,2.47,18209.0
2018-03-22,2.5,2.5,2.4273,2.43,103002.0,0.0,1.0,2.5,2.5,2.4273,2.43,103002.0
2018-03-21,2.53,2.53,2.42,2.51,14162.0,0.0,1.0,2.53,2.53,2.42,2.51,14162.0
2018-03-20,2.5,2.54,2.45,2.53,178544.0,0.0,1.0,2.5,2.54,2.45,2.53,178544.0
2018-03-19,2.49,2.52,2.48,2.5,24136.0,0.0,1.0,2.49,2.52,2.48,2.5,24136.0
2018-03-16,2.49,2.49,2.44,2.49,1976.0,0.0,1.0,2.49,2.49,2.44,2.49,1976.0
2018-03-15,2.48,2.54,2.44,2.51,11641.0,0.0,1.0,2.48,2.54,2.44,2.51,11641.0
2018-03-14,2.42,2.48,2.4,2.48,5621.0,0.0,1.0,2.42,2.48,2.4,2.48,5621.0
2018-03-13,2.43,2.47,2.4215,2.43,20661.0,0.0,1.0,2.43,2.47,2.4215,2.43,20661.0
2018-03-12,2.44,2.46,2.4,2.46,43835.0,0.0,1.0,2.44,2.46,2.4,2.46,43835.0
2018-03-09,2.34,2.42,2.33,2.39,30783.0,0.0,1.0,2.34,2.42,2.33,2.39,30783.0
2018-03-08,2.2802,2.4,2.275,2.34,16308.0,0.0,1.0,2.2802,2.4,2.275,2.34,16308.0
2018-03-07,2.1503,2.3,2.1503,2.24,33338.0,0.0,1.0,2.1503,2.3,2.1503,2.24,33338.0
2018-03-06,2.26,2.26,2.17,2.2,12992.0,0.0,1.0,2.26,2.26,2.17,2.2,12992.0
2018-03-05,2.27,2.36,2.2,2.21,11806.0,0.0,1.0,2.27,2.36,2.2,2.21,11806.0
2018-03-02,2.15,2.24,2.13,2.21,15197.0,0.0,1.0,2.15,2.24,2.13,2.21,15197.0
2018-03-01,2.1173,2.32,2.1173,2.19,30849.0,0.0,1.0,2.1173,2.32,2.1173,2.19,30849.0
2018-02-28,2.18,2.18,2.14,2.14,7058.0,0.0,1.0,2.18,2.18,2.14,2.14,7058.0
2018-02-27,2.17,2.19,2.14,2.17,7963.0,0.0,1.0,2.17,2.19,2.14,2.17,7963.0
2018-02-26,2.2,2.21,2.1901,2.21,4795.0,0.0,1.0,2.2,2.21,2.1901,2.21,4795.0
2018-02-23,2.127,2.27,2.127,2.2,21172.0,0.0,1.0,2.127,2.27,2.127,2.2,21172.0
2018-02-22,2.25,2.28,2.21,2.24,51711.0,0.0,1.0,2.25,2.28,2.21,2.24,51711.0
2018-02-21,2.28,2.2801,2.25,2.274,11407.0,0.0,1.0,2.28,2.2801,2.25,2.274,11407.0
2018-02-20,2.33,2.34,2.19,2.27,28948.0,0.0,1.0,2.33,2.34,2.19,2.27,28948.0
2018-02-16,2.34,2.35,2.33,2.33,8803.0,0.0,1.0,2.34,2.35,2.33,2.33,8803.0
2018-02-15,2.35,2.35,2.33,2.33,436.0,0.0,1.0,2.35,2.35,2.33,2.33,436.0
2018-02-14,2.2948,2.44,2.2948,2.37,14772.0,0.0,1.0,2.2948,2.44,2.2948,2.37,14772.0
2018-02-13,2.31,2.31,2.28,2.28,714.0,0.0,1.0,2.31,2.31,2.28,2.28,714.0
2018-02-12,2.1517,2.27,2.141,2.23,4131.0,0.0,1.0,2.1517,2.27,2.141,2.23,4131.0
