Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,19.29,19.46,18.99,19.1,107823.0,0.0,1.0,19.29,19.46,18.99,19.1,107823.0
2018-03-26,19.58,19.58,18.95,19.25,73520.0,0.0,1.0,19.58,19.58,18.95,19.25,73520.0
2018-03-23,19.73,19.78,19.31,19.35,146774.0,0.0,1.0,19.73,19.78,19.31,19.35,146774.0
2018-03-22,19.71,20.01,19.7,19.72,62614.0,0.0,1.0,19.71,20.01,19.7,19.72,62614.0
2018-03-21,20.0,20.07,19.79,19.84,95181.0,0.0,1.0,20.0,20.07,19.79,19.84,95181.0
2018-03-20,20.04,20.16,19.92,19.97,67459.0,0.0,1.0,20.04,20.16,19.92,19.97,67459.0
2018-03-19,19.94,20.03,19.77,20.0,77641.0,0.0,1.0,19.94,20.03,19.77,20.0,77641.0
2018-03-16,19.82,20.095,19.82,19.96,179301.0,0.0,1.0,19.82,20.095,19.82,19.96,179301.0
2018-03-15,19.98,20.29,19.6,19.83,149384.0,0.0,1.0,19.98,20.29,19.6,19.83,149384.0
2018-03-14,20.03,20.21,19.69,19.97,107313.0,0.0,1.0,20.03,20.21,19.69,19.97,107313.0
2018-03-13,20.1,20.31,19.17,19.97,82598.0,0.0,1.0,20.1,20.31,19.17,19.97,82598.0
2018-03-12,20.0,20.4,19.98,20.0,155807.0,0.0,1.0,20.0,20.4,19.98,20.0,155807.0
2018-03-09,19.95,20.31,19.72,19.98,234564.0,0.0,1.0,19.95,20.31,19.72,19.98,234564.0
2018-03-08,19.31,19.9,19.01,19.83,136566.0,0.0,1.0,19.31,19.9,19.01,19.83,136566.0
2018-03-07,19.03,19.51,18.82,19.19,917213.0,0.0,1.0,19.03,19.51,18.82,19.19,917213.0
2018-03-06,19.94,19.97,19.03,19.18,213239.0,0.0,1.0,19.94,19.97,19.03,19.18,213239.0
2018-03-05,19.61,20.0,19.555,19.87,140159.0,0.0,1.0,19.61,20.0,19.555,19.87,140159.0
2018-03-02,19.48,19.75,19.36,19.63,93024.0,0.0,1.0,19.48,19.75,19.36,19.63,93024.0
2018-03-01,19.55,19.87,19.38,19.63,148937.0,0.0,1.0,19.55,19.87,19.38,19.63,148937.0
2018-02-28,19.49,19.66,19.12,19.55,247240.0,0.0,1.0,19.49,19.66,19.12,19.55,247240.0
2018-02-27,19.53,19.78,19.24,19.41,83278.0,0.0,1.0,19.53,19.78,19.24,19.41,83278.0
2018-02-26,19.47,19.76,19.42,19.53,108180.0,0.0,1.0,19.47,19.76,19.42,19.53,108180.0
2018-02-23,19.65,19.9,19.36,19.45,84304.0,0.0,1.0,19.65,19.9,19.36,19.45,84304.0
2018-02-22,19.0,19.91,18.51,19.53,199782.0,0.0,1.0,19.0,19.91,18.51,19.53,199782.0
2018-02-21,18.41,19.09,18.41,18.7,97326.0,0.0,1.0,18.41,19.09,18.41,18.7,97326.0
2018-02-20,18.68,18.73,18.2,18.31,54939.0,0.0,1.0,18.68,18.73,18.2,18.31,54939.0
2018-02-16,18.64,19.01,18.64,18.79,47545.0,0.0,1.0,18.64,19.01,18.64,18.79,47545.0
2018-02-15,18.67,18.71,18.5,18.71,49216.0,0.0,1.0,18.67,18.71,18.5,18.71,49216.0
2018-02-14,18.19,18.56,18.19,18.51,78464.0,0.0,1.0,18.19,18.56,18.19,18.51,78464.0
2018-02-13,18.34,18.37,18.08,18.32,75998.0,0.0,1.0,18.34,18.37,18.08,18.32,75998.0
2018-02-12,18.77,18.99,18.22,18.43,66149.0,0.0,1.0,18.77,18.99,18.22,18.43,66149.0
2018-02-09,18.94,19.11,18.49,18.65,167535.0,0.0,1.0,18.94,19.11,18.49,18.65,167535.0
2018-02-08,19.47,19.5,18.7,18.72,155863.0,0.0,1.0,19.47,19.5,18.7,18.72,155863.0
2018-02-07,18.84,19.54,18.59,19.46,169564.0,0.0,1.0,18.84,19.54,18.59,19.46,169564.0
2018-02-06,17.94,18.96,17.43,18.91,159306.0,0.0,1.0,17.94,18.96,17.43,18.91,159306.0
2018-02-05,18.94,19.09,18.27,18.51,144643.0,0.0,1.0,18.94,19.09,18.27,18.51,144643.0
